,x,code
1,Andaman and Nicobar,1
2,Andhra Pradesh,2
3,Arunachal Pradesh,3
4,Assam,4
5,Bihar,5
6,Chandigarh,6
7,Chhattisgarh,7
8,Dadra and Nagar Haveli,8
9,Daman and Diu,9
10,Delhi,10
11,Goa,11
12,Gujarat,12
13,Haryana,13
14,Himachal Pradesh,14
15,Jammu and Kashmir,15
16,Jharkhand,16
17,Karnataka,17
18,Kerala,18
19,Lakshadweep,19
20,Madhya Pradesh,20
21,Maharashtra,21
22,Manipur,22
23,Meghalaya,23
24,Mizoram,24
25,Nagaland,25
26,Orissa,26
27,Puducherry,27
28,Punjab,28
29,Rajasthan,29
30,Sikkim,30
31,Tamil Nadu,31
32,Telangana,32
33,Tripura,33
34,Uttar Pradesh,34
35,Uttaranchal,35
36,West Bengal,36